Ime,Priimek,RD,Letnik,Oddelek,Povprečna ocena
Janez,Novak,18.2.1994,4,F,3.39
Janez,Novak,13.4.1996,1,B,1.38
Janez,Novak,10.3.1997,3,C,2.55
Janez,Novak,14.10.1996,3,A,3.25
Janez,Novak,16.1.1994,4,B,4.83
Janez,Novak,28.6.1994,4,F,2.27
Janez,Novak,7.3.2000,1,C,3.46
Janez,Novak,27.7.1995,4,A,4.48
Janez,Novak,28.10.1993,2,F,4.71
Janez,Novak,15.12.1997,4,E,3.96
Janez,Novak,27.5.1996,2,A,1.75
Janez,Novak,11.1.1997,4,A,1.18
Janez,Novak,24.7.2000,4,A,4.33
Janez,Novak,17.6.1994,3,F,2.23
Janez,Novak,5.1.1993,1,E,2.28
Janez,Novak,9.12.1995,2,D,2.39
Janez,Novak,29.7.2001,2,B,3.93
Janez,Novak,18.4.1998,4,C,1.80
Janez,Novak,23.11.1993,3,C,4.21
Janez,Novak,20.12.2001,4,E,4.42
Janez,Novak,17.7.1997,1,C,1.75
Janez,Novak,17.11.1995,3,D,1.55
Janez,Novak,11.10.1997,2,F,3.10
Janez,Novak,10.12.1994,1,B,2.09
Janez,Novak,2.5.1993,3,E,2.94
Janez,Novak,12.8.1994,1,F,2.90
Janez,Novak,13.4.1995,1,A,2.52
Janez,Novak,5.3.2001,4,F,4.10
Janez,Novak,12.11.2000,2,C,3.97
Janez,Novak,1.11.1999,1,A,2.41
Janez,Novak,14.9.1993,4,A,2.98
Janez,Novak,10.7.1993,1,A,1.99
Janez,Novak,12.4.2001,4,E,2.90
Janez,Novak,16.5.1994,2,E,4.20
Janez,Novak,24.3.1993,3,D,3.94
Janez,Novak,5.11.1993,4,C,1.48
Janez,Novak,17.4.1996,3,A,2.37
Janez,Novak,6.12.2000,1,B,1.80
Janez,Novak,13.11.1999,2,E,2.89
Janez,Novak,30.12.1997,4,C,4.02
Janez,Novak,28.8.1993,2,B,4.14
Janez,Novak,27.6.1993,1,A,3.97
Janez,Novak,21.10.1995,2,C,3.25
Janez,Novak,14.1.2001,1,C,1.49
Janez,Novak,25.4.1994,4,F,4.93
Janez,Novak,15.4.1997,3,E,4.81
Janez,Novak,26.5.1997,2,C,1.87
Janez,Novak,6.12.1995,4,A,4.61
Janez,Novak,25.3.1996,1,C,1.33
Janez,Novak,27.8.1998,4,C,3.84
Janez,Novak,4.8.1994,3,D,3.33
Janez,Novak,26.2.2000,1,C,3.82
Janez,Novak,26.10.2001,3,C,3.61
Janez,Novak,8.4.1997,1,B,1.62
